 timestamp,   dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 0001.681152, 000975,  0.975, _,    -00036, 000074, -00038,    
 0001.682129, 000976,  0.976, _,    -00037, 000078, -00039,    
 0001.683105, 000975,  0.975, _,    -00042, 000082, -00038,    
 0001.684082, 000975,  0.975, _,    -00044, 000080, -00038,    
 0001.685059, 000974,  0.974, _,    -00040, 000075, -00035,    
 0001.686035, 000975,  0.975, _,    -00034, 000073, -00037,    
 0001.687012, 000974,  0.974, _,    -00035, 000073, -00036,    
 0001.687988, 000974,  0.974, _,    -00038, 000074, -00028,    
 0001.688965, 000976,  0.976, _,    -00036, 000075, -00029,    
 0001.689941, 000976,  0.976, _,    -00033, 000076, -00035,    
 0001.691406, 000976,  0.976, _,    -00030, 000069, -00036,    
 0001.692383, 000974,  0.974, _,    -00029, 000067, -00033,    
 0001.693359, 000975,  0.975, _,    -00030, 000072, -00027,    
 0001.694336, 000975,  0.975, _,    -00033, 000077, -00029,    
 0001.695312, 000975,  0.975, _,    -00037, 000074, -00034,    
 0001.696289, 000975,  0.975, _,    -00038, 000074, -00035,    
 0001.697266, 000976,  0.976, _,    -00039, 000080, -00034,    
 0001.698242, 000975,  0.975, _,    -00039, 000083, -00035,    
 0001.699219, 000977,  0.977, _,    -00036, 000082, -00034,    
 0001.700195, 000976,  0.976, _,    -00035, 000079, -00031,    
 0001.701172, 000975,  0.975, _,    -00038, 000082, -00030,    
 0001.702148, 000975,  0.975, _,    -00038, 000085, -00032,    
 0001.703125, 000975,  0.975, _,    -00041, 000088, -00034,    
 0001.704102, 000977,  0.977, _,    -00041, 000086, -00037,    
 0001.705078, 000977,  0.977, _,    -00039, 000082, -00036,    
 0001.706055, 000978,  0.978, _,    -00039, 000073, -00032,    
 0001.707031, 000978,  0.978, _,    -00039, 000067, -00032,    
